"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"291",27123.9172948601,28851.3124740628,27131.2865706597,29999.9424218809,31892.5997509532
"292",27124.7783852676,28852.228403283,27132.1478950162,30000.8948161227,31893.6122305083
"293",27125.6395030118,28853.1443615808,27133.0092467168,30001.8472405997,31894.6247422062
"294",27126.5006480935,28854.0603489571,27133.8706257624,30002.7996953129,31895.6372860479
"295",27127.3618205136,28854.9763654128,27134.7320321537,30003.7521802632,31896.6498620343
"296",27128.2230202729,28855.8924109488,27135.5934658917,30004.7046954516,31897.6624701664
"297",27129.0842473723,28856.8084855662,27136.4549269772,30005.6572408791,31898.6751104454
"298",27129.9455018127,28857.7245892657,27137.3164154112,30006.6098165466,31899.6877828722
"299",27130.8067835949,28858.6407220483,27138.1779311944,30007.5624224551,31900.7004874479
"300",27131.6680927199,28859.556883915,27139.0394743277,30008.5150586055,31901.7132241734
"301",27132.5294291884,28860.4730748667,27139.9010448121,30009.4677249988,31902.7259930497
"302",27133.3907930014,28861.3892949042,27140.7626426483,30010.420421636,31903.738794078
"303",27134.2521841597,28862.3055440286,27141.6242678373,30011.373148518,31904.7516272592
"304",27135.1136026642,28863.2218222407,27142.4859203799,30012.3259056457,31905.7644925944
"305",27135.9750485157,28864.1381295414,27143.347600277,30013.2786930202,31906.7773900845
"306",27136.8365217152,28865.0544659317,27144.2093075294,30014.2315106425,31907.7903197306
"307",27137.6980222634,28865.9708314126,27145.0710421381,30015.1843585133,31908.8032815337
"308",27138.5595501613,28866.8872259848,27145.9328041038,30016.1372366338,31909.8162754949
"309",27139.4211054098,28867.8036496495,27146.7945934275,30017.0901450049,31910.8293016151
"310",27140.2826880096,28868.7201024074,27147.6564101101,30018.0430836275,31911.8423598953
"311",27141.1442979617,28869.6365842594,27148.5182541523,30018.9960525026,31912.8554503367
"312",27142.0059352669,28870.5530952067,27149.3801255551,30019.9490516311,31913.8685729401
"313",27142.8675999261,28871.4696352499,27150.2420243193,30020.9020810141,31914.8817277067
"314",27143.7292919402,28872.3862043902,27151.1039504458,30021.8551406525,31915.8949146375
"315",27144.59101131,28873.3028026283,27151.9659039355,30022.8082305472,31916.9081337334
"316",27145.4527580365,28874.2194299653,27152.8278847892,30023.7613506992,31917.9213849955
"317",27146.3145321204,28875.136086402,27153.6898930078,30024.7145011094,31918.9346684248
"318",27147.1763335626,28876.0527719393,27154.5519285922,30025.6676817789,31919.9479840224
"319",27148.0381623641,28876.9694865783,27155.4139915433,30026.6208927086,31920.9613317893
